,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
4165,18-29,Hombre,No sabe/No contesta,Peru,Grado,Business Analyst,< 1 years,Energía/Minería,Startup,"Python, SQL, C++"
4197,18-29,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,< 1 years,Tecnológico,Startup,Python
4206,18-29,Mujer,0-14K,Brasil,Grado,Data Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
4210,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Tecnológico,Mediana,Python
4223,60-70+,Hombre,0-14K,Reino Unido,Master,Business Analyst,< 1 years,Ventas al por menor,Startup,"Python, R"
4234,18-29,Hombre,0-14K,Singapur,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL, Javascript"
4249,45-59,Hombre,0-14K,España,Bachillerato,Data Analyst,< 1 years,Académico/Educación,Startup,Python
4264,30-44,Hombre,No sabe/No contesta,Otros,Doctorado,Business Analyst,< 1 years,,No sabe/No contesta,"Python, R"
4265,30-44,Mujer,0-14K,India,Grado,Business Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL, C"
4271,18-29,Hombre,No sabe/No contesta,China,Doctorado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
4296,30-44,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Fabricación,Pequeña,Python
4300,30-44,Hombre,0-14K,Brasil,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande," R, SQL"
4304,30-44,Hombre,15K-39K,Reino Unido,Grado,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL, C++"
4310,30-44,Hombre,+40K,Pakistan,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL"
4320,18-29,Hombre,0-14K,Brasil,Estudios Universitarios,Business Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
4322,30-44,Hombre,15K-39K,India,Grado,Data Analyst,5-10 years,Tecnológico,Multinacional, SQL
4329,18-29,Prefiero no decirlo,15K-39K,Otros,Bachillerato,Data Analyst,3-5 years,Ventas al por menor,Grande,"Python, SQL"
4357,30-44,Hombre,No sabe/No contesta,Canada,Master,Data Analyst,< 1 years,Fabricación,Pequeña,Python
4366,18-29,Hombre,No sabe/No contesta,Colombia,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, MATLAB"
4378,18-29,Hombre,0-14K,India,Master,Business Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL"
4382,18-29,Mujer,0-14K,India,Master,Business Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
4388,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C, C++"
4389,30-44,Hombre,0-14K,China,Grado,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Multinacional,"Python, SQL, Javascript, Other"
4395,30-44,Hombre,15K-39K,Francia,Master,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Javascript"
4401,30-44,Hombre,+40K,India,Grado,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Pequeña," R, SQL"
4424,60-70+,Mujer,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, R, SQL"
4431,30-44,Hombre,0-14K,Tailandia,Master,Business Analyst,< 1 years,Gobierno/servicio público,Mediana,Python
4435,18-29,Mujer,15K-39K,India,Master,Data Analyst,< 1 years,Ventas al por menor,Multinacional,"Python, SQL, C, Java"
4446,18-29,Mujer,15K-39K,Singapur,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,Python
4456,30-44,Hombre,0-14K,Emiratos Arabes,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,Python
4461,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,I have never written code,Médico/farmacéutico,Startup,No sabe/No contesta
4481,18-29,Hombre,15K-39K,Brasil,Grado,Business Analyst,5-10 years,Fabricación,Multinacional,"Python, SQL, Javascript"
4489,30-44,Hombre,+40K,Japon,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL"
4498,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Business Analyst,< 1 years,Marketing/CRM,Startup,"Python, SQL"
4499,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Java"
4530,18-29,Hombre,0-14K,India,Grado,Business Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
4548,18-29,Mujer,No sabe/No contesta,Taiwan,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, R, SQL"
4552,18-29,Mujer,+40K,Alemania,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL"
4561,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C, C++, Java, MATLAB"
4568,30-44,Hombre,0-14K,Taiwan,Master,Data Analyst,10-20 years,Fabricación,Mediana,"Python, SQL, C++"
4570,45-59,Hombre,+40K,Italia,Grado,Business Analyst,5-10 years,Energía/Minería,Mediana,Python
4573,18-29,Hombre,15K-39K,India,Grado,Business Analyst,I have never written code,Médico/farmacéutico,Grande,No sabe/No contesta
4579,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,Ventas al por menor,No sabe/No contesta,"Python, SQL"
4584,30-44,Hombre,0-14K,Egipto,Bachillerato,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana, SQL
4589,18-29,Hombre,+40K,India,Grado,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, SQL"
4592,18-29,Mujer,+40K,Alemania,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
4608,30-44,Hombre,0-14K,Indonesia,Doctorado,Data Analyst,10-20 years,Tecnológico,Startup," R, SQL"
4620,30-44,Hombre,15K-39K,Rusia,Estudios Universitarios,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL"
4623,30-44,Hombre,15K-39K,Brasil,Grado,Data Analyst,1-3 years,Energía/Minería,Multinacional," R, SQL, Other"
4627,18-29,Hombre,0-14K,Brasil,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL, Java, Javascript, Other"
4629,45-59,Hombre,+40K,Alemania,Master,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Startup,"Python, SQL, Java"
4649,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Data Analyst,3-5 years,Otros,Mediana,Python
4650,30-44,Hombre,15K-39K,India,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Java"
4672,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
4676,30-44,Hombre,15K-39K,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional, Javascript
4693,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C, C++, Java, Javascript, Bash, MATLAB, Other"
4694,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,5-10 years,Fabricación,Mediana,"Python, SQL, Javascript, Bash"
4700,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,ONG/Servicio,Startup,"Python, SQL"
4706,45-59,Hombre,15K-39K,Argentina,Estudios Universitarios,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande," R, SQL, Javascript"
4718,30-44,Hombre,No sabe/No contesta,Indonesia,Grado,Data Analyst,1-3 years,Académico/Educación,Grande," R, SQL"
4723,18-29,Hombre,0-14K,Otros,Grado,Business Analyst,I have never written code,Ventas al por menor,Multinacional,No sabe/No contesta
4729,30-44,Mujer,0-14K,India,Master,Data Analyst,3-5 years,Tecnológico,Mediana,Python
4730,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, R, SQL"
4732,18-29,Hombre,0-14K,Turquia,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL, Javascript"
4734,60-70+,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña,Python
4750,30-44,Hombre,0-14K,Ecuador,Master,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R, SQL"
4760,18-29,Hombre,No sabe/No contesta,Ghana,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
4765,18-29,Hombre,0-14K,Peru,Grado,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, Julia"
4771,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, Java"
4783,30-44,Hombre,No sabe/No contesta,Brasil,Grado,Business Analyst,3-5 years,Médico/farmacéutico,Pequeña,"Python, SQL, Javascript"
4801,45-59,Hombre,+40K,Canada,Master,Data Analyst,3-5 years,Fabricación,Pequeña, SQL
4820,18-29,Hombre,No sabe/No contesta,India,Grado,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL, MATLAB"
4838,30-44,Hombre,0-14K,India,Master,Business Analyst,5-10 years,Fabricación,Pequeña,Python
4839,18-29,Hombre,+40K,Japon,Grado,Business Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
4844,18-29,Mujer,0-14K,Pakistan,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional, SQL
4862,18-29,Hombre,No sabe/No contesta,Etiopia,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, Java, MATLAB"
4863,18-29,Hombre,No sabe/No contesta,Singapur,Bachillerato,Business Analyst,1-3 years,Envío/Transporte,Pequeña,Python
4866,18-29,Hombre,No sabe/No contesta,Colombia,Grado,Business Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
4871,30-44,Hombre,0-14K,Mexico,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Javascript"
4891,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Tecnológico,Startup," SQL, C, Java"
4896,45-59,Prefiero no decirlo,No sabe/No contesta,Estados Unidos,Estudios Universitarios,Data Analyst,20+ years,Médico/farmacéutico,Multinacional," SQL, Other"
4911,30-44,Mujer,0-14K,Mexico,Grado,Data Analyst,5-10 years,Académico/Educación,Startup,"Python, R"
4922,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,1-3 years,Otros,Startup,"Python, SQL"
4929,18-29,Hombre,No sabe/No contesta,Mexico,Grado,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL"
4935,18-29,Hombre,0-14K,Grecia,Grado,Data Analyst,1-3 years,Ventas al por menor,Startup,"Python, R, SQL, C, MATLAB"
4937,18-29,Mujer,No sabe/No contesta,Egipto,Bachillerato,Business Analyst,< 1 years,Energía/Minería,Startup,"Python, C, C++"
4941,45-59,Hombre,No sabe/No contesta,Paises Bajos,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
4945,18-29,Mujer,0-14K,Rusia,Grado,Business Analyst,< 1 years,Médico/farmacéutico,Grande,Python
4957,18-29,Hombre,0-14K,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
4962,18-29,Hombre,+40K,India,Master,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, R, SQL, Bash"
4969,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Ventas al por menor,Mediana,"Python, SQL"
4978,45-59,Prefiero no decirlo,+40K,Otros,Bachillerato,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, SQL, Javascript, Bash, Other"
4995,18-29,Hombre,No sabe/No contesta,Estados Unidos,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
5013,30-44,Hombre,0-14K,Nigeria,Grado,Data Analyst,1-3 years,Energía/Minería,Mediana,"Python, SQL"
5014,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Startup," C++, Java"
5016,18-29,Hombre,No sabe/No contesta,Indonesia,Grado,Data Analyst,3-5 years,Otros,Startup,"Python, R, SQL"
5018,45-59,Hombre,15K-39K,Mexico,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Pequeña,Python
5021,30-44,Hombre,+40K,Singapur,Grado,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, R"
5027,30-44,Mujer,0-14K,Canada,Master,Business Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL"
5029,18-29,Hombre,0-14K,India,Grado,Business Analyst,< 1 years,Tecnológico,Grande,"Python, SQL"
5036,18-29,Hombre,15K-39K,India,Master,Business Analyst,< 1 years,Fabricación,Pequeña,"Python, R, SQL"
5043,30-44,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,1-3 years,Ventas al por menor,Mediana,"Python, SQL"
5044,30-44,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL"
5048,18-29,Mujer,No sabe/No contesta,Francia,Master,Business Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, R, SQL"
5049,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Académico/Educación,No sabe/No contesta,"Python, C, C++"
5050,30-44,Mujer,No sabe/No contesta,Canada,Master,Data Analyst,3-5 years,Ventas al por menor,Startup,"Python, Javascript, MATLAB"
5055,30-44,Hombre,+40K,India,Master,Data Analyst,5-10 years,Marketing/CRM,Mediana,"Python, R, SQL"
5057,45-59,Hombre,+40K,Japon,Bachillerato,Data Analyst,10-20 years,Tecnológico,Grande,"Python, SQL"
5060,18-29,Hombre,0-14K,Mexico,Estudios Universitarios,Business Analyst,< 1 years,Energía/Minería,Startup, Other
5072,18-29,Mujer,0-14K,India,Grado,Data Analyst,I have never written code,Radio/Comunicaciones,Mediana,No sabe/No contesta
5086,30-44,Hombre,+40K,Singapur,Estudios Universitarios,Data Analyst,3-5 years,Contabilidad/Finanzas,Startup,"Python, SQL"
5093,30-44,Hombre,+40K,Alemania,Doctorado,Business Analyst,10-20 years,Médico/farmacéutico,Multinacional,"Python, SQL, Javascript"
5102,18-29,Hombre,0-14K,Rusia,Master,Data Analyst,1-3 years,Ventas al por menor,Startup,"Python, SQL"
5103,60-70+,Hombre,+40K,Estados Unidos,Doctorado,Business Analyst,10-20 years,Académico/Educación,Startup,Python
5106,30-44,Hombre,+40K,Alemania,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,Python
5109,18-29,Hombre,No sabe/No contesta,Mexico,Master,Data Analyst,3-5 years,ONG/Servicio,Startup,"Python, SQL"
5126,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, R, SQL"
5132,45-59,Hombre,+40K,Estados Unidos,Doctorado,Data Analyst,5-10 years,Energía/Minería,Mediana,Python
5140,30-44,Hombre,0-14K,Argentina,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL, Julia"
5141,18-29,Hombre,0-14K,Japon,Estudios Universitarios,Business Analyst,1-3 years,Fabricación,Startup,"Python, SQL"
5146,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Tecnológico,Pequeña,Python
5155,30-44,Hombre,+40K,Alemania,Doctorado,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, R, SQL"
5161,45-59,Hombre,15K-39K,Otros,Master,Data Analyst,3-5 years,Académico/Educación,Grande,"Python, R, SQL"
5165,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup, SQL
5171,30-44,Hombre,No sabe/No contesta,Rusia,Master,Business Analyst,1-3 years,Marketing/CRM,Startup,"Python, SQL"
5172,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,10-20 years,,No sabe/No contesta,"Python, SQL, Other"
5196,45-59,Mujer,15K-39K,Brasil,Doctorado,Data Analyst,10-20 years,Académico/Educación,Grande,Python
5197,18-29,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
5199,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Energía/Minería,Pequeña,Python
5215,18-29,Mujer,0-14K,Rusia,Grado,Business Analyst,I have never written code,Gobierno/servicio público,Startup,No sabe/No contesta
5228,30-44,Mujer,15K-39K,Tailandia,Master,Data Analyst,< 1 years,Energía/Minería,Mediana," R, SQL, MATLAB"
5233,45-59,Hombre,0-14K,Rusia,Prefiero no responder,Data Analyst,1-3 years,Gobierno/servicio público,Grande,Python
5236,18-29,Hombre,15K-39K,Hong Kong (S.A.R.),Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL"
5250,18-29,Hombre,0-14K,Malasia,Grado,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional, SQL
5252,18-29,Hombre,+40K,Japon,Estudios Universitarios,Data Analyst,1-3 years,Fabricación,Grande,Python
5259,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,Python
5276,30-44,Mujer,0-14K,Republica Checa,Master,Data Analyst,< 1 years,Envío/Transporte,Mediana,Python
5291,18-29,Hombre,0-14K,Otros,Grado,Data Analyst,5-10 years,Ventas al por menor,Startup,"Python, R, SQL, Java, Javascript"
5319,18-29,Hombre,0-14K,Indonesia,Bachillerato,Data Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
5322,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,"Python, SQL, C, Javascript"
5333,18-29,Hombre,No sabe/No contesta,India,Grado,Business Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña," R, C, Bash, MATLAB"
5334,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Business Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
5341,18-29,Hombre,+40K,Canada,Master,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R, SQL, C, Java"
5357,45-59,Hombre,No sabe/No contesta,Argentina,Grado,Business Analyst,1-3 years,,No sabe/No contesta, Other
5360,18-29,Mujer,No sabe/No contesta,No deseo revelar mi ubicacion,Doctorado,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, R, SQL"
5361,30-44,Hombre,0-14K,India,Estudios Universitarios,Data Analyst,I have never written code,Envío/Transporte,Multinacional,No sabe/No contesta
5371,30-44,Hombre,+40K,Canada,Master,Business Analyst,1-3 years,Gobierno/servicio público,Multinacional,Python
5372,30-44,Mujer,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
5376,30-44,Hombre,15K-39K,India,Master,Data Analyst,5-10 years,Fabricación,Mediana,"Python, R, SQL"
5378,45-59,Hombre,15K-39K,Mexico,Master,Business Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL, C, Java, Javascript, Bash"
5380,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,10-20 years,Otros,Multinacional, SQL
5384,45-59,Hombre,0-14K,Ecuador,Master,Business Analyst,1-3 years,Médico/farmacéutico,Pequeña,Python
5389,30-44,Hombre,+40K,Corea del Sur,Master,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña,Python
5396,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL, Other"
5403,18-29,Hombre,No sabe/No contesta,Turquia,Grado,Data Analyst,1-3 years,,No sabe/No contesta,Python
5407,18-29,Hombre,0-14K,Brasil,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
5408,30-44,Hombre,0-14K,Nigeria,Master,Data Analyst,< 1 years,Energía/Minería,Startup," SQL, C++, MATLAB"
5410,60-70+,Prefiero no decirlo,No sabe/No contesta,Otros,Bachillerato,Business Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
5412,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, MATLAB"
5416,30-44,Hombre,15K-39K,India,Doctorado,Business Analyst,I have never written code,Médico/farmacéutico,Multinacional,No sabe/No contesta
5428,30-44,Hombre,+40K,India,Master,Data Analyst,10-20 years,Tecnológico,Multinacional, SQL
5445,18-29,Hombre,No sabe/No contesta,Indonesia,Grado,Data Analyst,I have never written code,Marketing/CRM,Multinacional,No sabe/No contesta
5456,18-29,Hombre,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, Other"
5461,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL"
5467,18-29,Hombre,0-14K,India,Grado,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, SQL"
5477,18-29,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Académico/Educación,Startup, Javascript
5487,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, R, SQL"
5497,45-59,Mujer,+40K,Singapur,Master,Business Analyst,< 1 years,Radio/Comunicaciones,Pequeña, None
5513,30-44,No binario,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Militar/Seguridad/Defensa,Grande,"Python, R, SQL, Bash"
5527,30-44,Hombre,No sabe/No contesta,Rusia,Estudios Universitarios,Data Analyst,< 1 years,Ventas al por menor,Startup,"Python, SQL, MATLAB"
5528,60-70+,Hombre,No sabe/No contesta,Pakistan,Grado,Data Analyst,10-20 years,Contabilidad/Finanzas,Startup,"Python, SQL"
5539,30-44,Hombre,0-14K,Bangladesh,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, R, SQL"
5545,30-44,Mujer,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R"
5554,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
5559,18-29,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, MATLAB"
5561,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL"
5580,30-44,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Otros,Multinacional, None
5607,18-29,Hombre,15K-39K,Estados Unidos,Estudios Universitarios,Data Analyst,1-3 years,Envío/Transporte,Multinacional,"Python, SQL, Javascript"
5618,30-44,Hombre,0-14K,Egipto,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
5619,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,Python
5621,30-44,Hombre,0-14K,Taiwan,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, C"
5628,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,1-3 years,Tecnológico,Startup,Python
5630,18-29,Hombre,0-14K,Malasia,Grado,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
5646,18-29,Hombre,0-14K,India,Master,Data Analyst,5-10 years,Tecnológico,Mediana,"Python, R, SQL, Bash"
5669,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,Python
5671,18-29,Hombre,0-14K,Peru,Estudios Universitarios,Data Analyst,< 1 years,Ventas al por menor,Mediana,"Python, R, SQL"
5677,30-44,Hombre,No sabe/No contesta,Rusia,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
5685,30-44,Hombre,No sabe/No contesta,Alemania,Doctorado,Data Analyst,5-10 years,,No sabe/No contesta,"Python, R, MATLAB"
5699,30-44,Hombre,0-14K,Rusia,Estudios Universitarios,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
5716,18-29,Hombre,0-14K,Rusia,Grado,Data Analyst,3-5 years,Ventas al por menor,Mediana,"Python, C++"
5725,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,< 1 years,Gobierno/servicio público,Grande, None
5733,30-44,Hombre,+40K,Francia,Master,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña, SQL
5734,45-59,Hombre,15K-39K,Otros,Master,Business Analyst,< 1 years,Tecnológico,Startup,"Python, Other"
5742,30-44,Mujer,0-14K,India,Grado,Data Analyst,3-5 years,Ventas al por menor,Grande,"Python, SQL"
5746,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,5-10 years,Médico/farmacéutico,Multinacional,"Python, SQL, Javascript"
5747,30-44,Hombre,15K-39K,Colombia,Grado,Data Analyst,1-3 years,Marketing/CRM,Grande,"Python, SQL"
5751,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
5753,45-59,Mujer,+40K,Paises Bajos,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, SQL"
5755,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
5776,18-29,Mujer,15K-39K,Malasia,Grado,Data Analyst,I have never written code,Marketing/CRM,Grande,No sabe/No contesta
5784,30-44,Hombre,+40K,Estados Unidos,Grado,Business Analyst,1-3 years,Radio/Comunicaciones,Multinacional,"Python, SQL"
5802,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Envío/Transporte,Startup,"Python, Javascript"
5803,18-29,Hombre,0-14K,Otros,Doctorado Profesional,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, R, SQL, Java, Javascript"
5818,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande, None
5829,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,I have never written code,Tecnológico,Pequeña,No sabe/No contesta
5841,18-29,Hombre,No sabe/No contesta,Portugal,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
5842,18-29,Mujer,No sabe/No contesta,Rusia,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, MATLAB"
5847,30-44,Hombre,0-14K,Peru,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, R, SQL, MATLAB"
5864,30-44,Hombre,No sabe/No contesta,Mexico,Doctorado,Business Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL, Other"
5875,30-44,Hombre,15K-39K,Rusia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Bash, Other"
5892,18-29,Hombre,No sabe/No contesta,Indonesia,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, C++, Java"
5894,18-29,Mujer,No sabe/No contesta,Tailandia,Master,Data Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
5903,18-29,Hombre,0-14K,India,Grado,Business Analyst,< 1 years,Marketing/CRM,Mediana,"Python, SQL"
5914,18-29,Hombre,0-14K,Nigeria,Grado,Data Analyst,1-3 years,Tecnológico,Mediana,Python
5918,30-44,Mujer,0-14K,Irlanda,Grado,Business Analyst,1-3 years,Envío/Transporte,Multinacional, Other
